id,mbti,resource_title,url,media_type,language,issue_tags,trigger_keywords,recommendation_policy,source_file,source_paragraph_index,notes
INFP_cf7b1e2dcf,INFP,Emotional Flooding: How Anxiety Impacts Relationships: Relationship Skills #8,https://youtu.be/7xwOZVRK_B8?si=GBMxIswXcUXCtT4E,video,en,['emotional_flooding'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,70,
INFP_e313b0edf8,INFP,تنظيم المشاعر (١) |طرق خاطئة للتعامل مع المشاعر!,https://youtu.be/jYSlcbLH368?si=5XSt0yZM3Oz_GLSj,video,ar,['emotional_suppression'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,72,
INFP_f72bd90d78,INFP,الذكاء العاطفي وفن إدارة المشاعر | بودكاست الغبوق,https://youtu.be/mmAX0GmrCeM?si=_1lJ4fFs3lWRVikw,video,ar,"['emotional_suppression', 'emotional_awareness']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,73,
INFP_e30dea473c,INFP,معركة الاهتمام ضد اللا مبالاة - الجزء الاول - دوباميكافين,https://youtu.be/yJFjFu1h128?si=cRREDdtZkpsG2LND,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,75,
INFP_539fdf9adf,INFP,"فن اتخاذ القرار , نصائح تساعدك اتخاذ القرار بعقلانية بدون أن تندم على قرارك الدكتور ياسر الحزيمي",https://youtu.be/JSBmUBSqeFo?si=5yRfNyWn-S59zzDi,video,ar,['decision_paralysis'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,81,
INFP_0e2a938256,INFP,كيف تحقق أهدافك - شرح كامل لكتاب الاثنى عشر أسبوع - دوباميكافين,https://youtu.be/4Ai5WEOHzgs?si=XBab5dNudeDkhfLm,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,83,
INFP_bc28fba014,INFP,How to make smart decisions more easily,https://youtu.be/X7j8F16eSqs?si=KMIKEstjAj8Iu8Hc,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,84,
INFP_99629690c5,INFP,Trust Your Gut: How to Make a Hard Decision,https://youtu.be/aGPYyo_Mplg?si=aynFVzxaGN8ejZSK,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,86,
INFP_5cdd4aa229,INFP,How to make hard choices | Ruth Chang,https://youtu.be/8GQZuzIdeQQ?si=ELD4F0rTy_cjCAxT,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,87,
INFP_45461fa34c,INFP,سلسلة تأسيس فهم التعافي: 33 الخيالات وأحلام اليقظة في طريق التعافي,https://youtu.be/3tbIRUEip4M?si=v3ty2y9idmcemszh,video,ar,['fantasy_escape'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,93,
INFP_753442c424,INFP,مواجهة صعبة.. لكنك تحتاجها! - نفوس - مصطفى حسني,https://youtu.be/OrqaL9tNmjM?si=b5c6kpI5Upi6J6Ck,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,95,
INFP_49c5e2dcd4,INFP,Your elusive creative genius | Elizabeth Gilbert,https://youtu.be/86x-u-tz0MA?si=DOf2e4W89lE9pBe4,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,97,
INFP_e37139c687,INFP,النقد والانفعالات .. التعامل مع الأخطاء | برنامج مشورة مع ياسر الحزيمي | الحلقة الثامنة عشر,https://youtu.be/_dj9BJR-U5U?si=WFiCvrROC-LQ9Yzs,video,ar,['criticism_sensitivity'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,104,
INFP_e0abf768a0,INFP,استقبل النقد وضعه في عقلك في المكان السليم - مصطفى حسني,https://youtu.be/RuGb-bKBPzY?si=itDor1e6kv9fysPg,video,ar,['criticism_sensitivity'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,105,
INFP_13f4847fbf,INFP,الشخص مفرط الحساسية - كتاب إلين أرون,https://youtu.be/Pim9gI7HcSs?si=a0yCji5LL2fIiiqX,video,ar,['criticism_sensitivity'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,106,
INFP_0f786bf656,INFP,كيف تتخلص الشخصية الحساسة بداخلك و تكتشفها | جدد حياتك,https://youtu.be/MG6T5Q8DkQE?si=ZS267GEX_fw07_DO,video,ar,['emotional_absorption'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,107,
INFP_ae88dfa6e7,INFP,3 سمات للشخص مُفرط الحساسية - مصطفى حسني,https://youtu.be/9_HmRqoShYE?si=jAEe7A3NEASMqHZD,video,ar,['criticism_sensitivity'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,108,
ENFJ_af567d644c,ENFJ,بودكاست فاهد اجعل نفسك أولوية,https://youtu.be/a1jGmpCx1yQ?si=DhXkVcJEg1QP9_pq,video,ar,['self_priority_boundaries'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,126,
ENFJ_a069b49707,ENFJ,لماذا أنت غير واثق في نفسك؟,https://youtu.be/MQ0_cRSvLsM?si=HKX-Ci3Eh7h3xm2O,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,127,
ENFJ_311dbf4490,ENFJ,كيفية التصالح مع النفس ؟ | كلمات من ذهب تزيل الهم والقلق | من روائع دكتور مصطفي محمود,https://youtu.be/G3vYaLQc2Hk?si=TsKVycMbpsQZ4nLQ,video,ar,"['emotional_awareness', 'change_fear']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,128,
ENFJ_d7bb008725,ENFJ,لكي تفرض احترامك، تعلم كيف تقول لا بصراحة / أ. ياسر الحزيمي,https://youtu.be/288K3jPRfRw?si=sqQTzCFnspvTQNj8,video,ar,['self_priority_boundaries'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,129,
ENFJ_3b11efdf30,ENFJ,أكبر خطأ يرتكبه الإنسان، توقّف عن إرضاء الآخرين | بوكافيين,https://youtu.be/1UEjZHfFAJk?si=Fxwj6jdRF9vhdAfQ,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,130,
ENFJ_1f3d16c223,ENFJ,A Toolkit for Confidence: How to Build UNSHAKABLE Self Confidence | The Mel Robbins Podcast,https://youtu.be/kMtNkJcJn3M?si=vfTmBA-Vi6MLkUiz,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,135,
ENFJ_bc4796b26c,ENFJ,كثرة المقارنة بالغير بتأثر على حال قلبك .. خلي بالك - مصطفى حسني,https://youtu.be/KcPkc_qjjcc?si=CzdHzIRBXI8g_707,video,ar,['confidence_comparison'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,136,
ENFJ_acdc54fc16,ENFJ,شرح كتاب وهم المقارنة | 7 عادات لتحسين وضعك المادي! | بوكافيين,https://youtu.be/czfDCPdu0OQ?si=MPKpKrC9ASyBiKJa,video,ar,['confidence_comparison'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,137,
ENFJ_2a874c3dbd,ENFJ,إزاى أبطل مقارنة؟ | مرض المقارنة | النفسية الموسم الخامس | الحلقة التاسعة | امال عطية,https://youtu.be/jv0LJ5r8M2M?si=bDoSSJw2z0RZHusr,video,ar,['confidence_comparison'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,138,
ENFJ_60453230ec,ENFJ,Is it normal to talk to yourself?,https://youtu.be/iNyUmbmQQZg?si=7U3kCW1IBwwvpXbd,video,en,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,143,
ENFJ_2c851b466a,ENFJ,كيفية وضع حدود في العلاقات مع تجنب الصدامات مع د. هبة يس | افيدونا بودكاست,https://youtu.be/uuuHBKQNrJE?si=iOwcExDweiQS4RhL,video,ar,['self_priority_boundaries'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,148,
ENFJ_9a5a0e69c7,ENFJ,الحدود والحقوق | برنامج مشورة مع ياسر الحزيمي | الحلقة التاسعة عشر,https://youtu.be/OB1uzHLdmUQ?si=L39JTsdnPS9aCjpU,video,ar,['self_priority_boundaries'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,149,
ENFJ_63c30a033e,ENFJ,الحلقة 13 - الحدود والخصوصية - بصير - مصطفى حسني - EPS 13 - Baseer - Mustafa Hosny,https://youtu.be/n9kbuRh7d7k?si=Ys9p3leZxcvCvyfe,video,ar,['self_priority_boundaries'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,150,
ENFP_447fec7f42,ENFP,ما الشئ الذي ساعدك في اكتساب مهارة الانضباط ؟ - YouTube,https://youtube.com/shorts/LtBcEIgNZPM?si=tD3r1yBoHss_vn9v,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,179,
ENFP_7fd9c91df1,ENFP,التسويف | أسبابه وعلاجه وكيف تتخلص من التسويف؟,https://youtu.be/GZpk7Vqv3jQ?si=kr-XCsDBASLUtUyk,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,180,
ENFP_7b3b913e2d,ENFP,تخلص من تعفن الدماغ في ٥ خطوات و استرجع عقلك,https://youtu.be/uVHJBwomd8g?si=XXynLU5AD-b6aNxL,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,181,
ENFP_1d88501208,ENFP,كيف تتحرر من استعباد التليفون لك؟,https://youtu.be/EDbTO7ab4r4?si=Wfn8p3UIZVtonk45,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,182,
ENFP_98952920b2,ENFP,شرح كتاب قوة التركيز العميق| كيف تركز على حياتك أكثر؟ | بوكافيين,https://youtu.be/kXfToHDYEWs?si=5yEJ041gev7s93YJ,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,183,
ENFP_200c699490,ENFP,وش ممكن يسوي التشتت في حياتك؟ وكيف انا عالجت تشتتي!,https://youtu.be/Ubq9xsnsDCA?si=AN_B99V3J-Z1QwXj,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,184,
ENFP_a1ef1000e3,ENFP,٧ حلول بسيطة لمشكلة ضعف التركيز وتشتت الانتباه | افتح عقلك,https://youtu.be/9CMLAwL8pDo?si=ugCSWWujPHZfqfjD,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,185,
ENFP_927da34812,ENFP,لو محتار في قرار.. جرب تعديه على الأربع خطوات دول‎ - مصطفى حسني,https://youtu.be/oYCw5aClrwg?si=8p_JA8um3NdVFPss,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,186,
ENFP_c540fd8bca,ENFP,"فن اتخاذ القرار , نصائح تساعدك اتخاذ القرار بعقلانية بدون أن تندم على قرارك الدكتور ياسر الحزيمي",https://youtu.be/JSBmUBSqeFo?si=YI4kAqTAPysOUmZR,video,ar,['decision_paralysis'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,187,
ENFP_c478af716e,ENFP,كيف تتخذ قراراتك الصعبة؟ | بوكافيين,https://youtu.be/H8JHxNvLmNo?si=DovTe2eCrGSWxlZt,video,ar,['decision_paralysis'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,188,
INTJ_d1c2ab272f,INTJ,الوعي الذاتي (الوعي العاطفي),https://youtu.be/DooZv887W4c?si=uU2btj97etUazT_c,video,ar,['emotional_awareness'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,200,
INTJ_97c2975914,INTJ,مبقتش أثق في أي حد علشان محدش يستحق الثقة.. إيه المشكلة؟ - مصطفى حسني,https://youtu.be/zR8FB38n5Vk?si=77uLmTRVShQXKIXi,video,ar,"['confidence_comparison', 'emotional_awareness']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,201,
INTJ_1336d30e13,INTJ,من فقدان الثقة إلى التعافي - التحرر من الماضي,https://youtu.be/xq5m5QHZ0NQ?si=mSgCfTL-k6s7JNoQ,video,ar,"['confidence_comparison', 'emotional_awareness', 'change_fear']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,202,
INTJ_6dd23c70a2,INTJ,إزاي ترتاح من التفكير في اللي ظلمك؟ (آية هتغير حياتك) #شخبطة,https://youtu.be/wj5x4EOBtLQ?si=DzjwnxC_MiVuFIbY,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,203,
INTJ_d7f3e3219f,INTJ,أخطاء تُدمر فريق عملك - كتاب العوامل الخمسة لخلل العمل الجماعي,https://youtu.be/x1gEqjuZW1k?si=bXxUpps5XAJlrzjr,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,204,
INTJ_414f52dbfe,INTJ,شرح كتاب إزالة القلق| كيف تتخلص من القلق والتوتر؟ | بوكافيين,https://youtu.be/2Di8_QlO9vM?si=Be4EY4UA7p4z0W3U,video,ar,"['emotional_awareness', 'change_fear']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,205,
INTP_13942d55da,INTP,بودكاست سيكولوجيا | هل أنت مُتأخر مهنيًا مع هاجر القايدي,https://youtu.be/AK-0Smr7b1o?si=c3N9bh9xn3gZQEeU,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,217,
INTP_c726d9db7f,INTP,سلسلة تأسيس فهم التعافي: 19 عن الفوضى في حياتنا,https://youtu.be/V9KFVhO2xfs?si=yZ5ClvCTsFL3g8TM,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,218,
INTP_36ebd06c4e,INTP,هل تشعر بأن أمورك كلها قضايا حياة أو موت؟ | بوكافيين,https://youtu.be/BOnvRSNMbJ0?si=fAWRfI4ztLgCcKY2,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,219,
INTP_921b0891f0,INTP,فيديو مـ ـرعب سبب الخمول و الكسل و التشتت وعدم التركيز و إدمان التليفون 📱 الشيخ أمجد سمير,https://youtu.be/R7KhvG4PwlM?si=hedEtS5cBlmBVxxt,video,ar,['focus_discipline'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,220,
INTP_0e1874ebee,INTP,🤯 لقيت حل للتفكير المفرط (الأوفرثينكنج),https://youtu.be/Zy3xB0YL6dQ?si=Kr9hAFjLl8-Ad7TH,video,ar,['overthinking'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,221,
INTP_c6049ae3a7,INTP,Jay Shetty: 2 Minute Trick To STOP Overthinking INSTANTLY!,https://youtu.be/uVxNDoDa7A4?si=d3_kdoaQ_zq456Fw,video,en,['overthinking'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,222,
ENTJ_9d2df096e7,ENTJ,يعني ايه ذكاء عاطفي ❤️🧠، كتاب: النوع الآخر من الذكاء #أخضر,https://youtu.be/_W6IOJDvid0?si=7tO25aZoYvo0gufr,video,ar,['emotional_awareness'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,234,
ENTJ_1cd0e89234,ENTJ,ماهي صفات الشخص الغبي عاطفياً؟ | بودكاست شنو القصة مع الكاتب عبد الرحمن الناقي,https://youtu.be/QVf71ZGCo84?si=MQN8k-EuzeHZRNfH,video,ar,['emotional_awareness'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,235,
ENTJ_31c82dc3f4,ENTJ,خطورة الربط بين الإنجاز والشعور بالقيمة والمعنى الحقيقي لتحقيق الذات| مصطفى حسان,https://youtu.be/hQ-8YiKNdZQ?si=CCdSPri--ruKd14U,video,ar,['achievement_self_worth'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,236,
ENTJ_d9a8b2a2c0,ENTJ,التفكير المفرط بيستهلك طاقتك وبيفقدك تركيزك.. اعرف إزاي تتعامل معاه صح - مصطفى حسني,https://youtu.be/Sx_3VA9SF10?si=kfyR-we2ap50AzkQ,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,237,
ENTJ_05c33cb967,ENTJ,عبء الإنجاز !! مشكلة الاعتماد على الانجاز في رفع القيمة الذاتية ؟ | النفسية - امال عطية | افيدونا,https://youtu.be/XgUHqFZe7pg?si=AgxdEEbi6O-dA-a_,video,ar,['achievement_self_worth'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,238,
ENTJ_1673ff32a0,ENTJ,اوعي تكون غرقان في الوهم : كتاب وهم الإنجاز 😵‍💫 #أخضر,https://youtu.be/LGdOz3oYpQg?si=VC2VQ0wr_dqLUmKv,video,ar,"['emotional_awareness', 'achievement_self_worth']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,239,
ENTP_62eb4397c5,ENTP,لماذا نفقد الارادة ونصاب بالكسل ؟ - قوة العادات - الجزء الثالث - دوباميكافين,https://youtu.be/XO5sFQ4qR7U?si=HWKLFH06VySxH6Jl,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,251,
ISTJ_3f93a2e351,ISTJ,الخوف | ياسر الحزيمي,https://youtu.be/6N_AMqOOuiY?si=BQexl18fVl3PJMH6,video,ar,['change_fear'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,263,
ISTJ_e1e50b710a,ISTJ,شرح كتاب إزالة القلق| كيف تتخلص من القلق والتوتر؟ | بوكافيين,https://youtu.be/2Di8_QlO9vM?si=YYZ6CLVK50plsptU,video,ar,"['emotional_awareness', 'change_fear']",[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,264,
ISTJ_3d98fa94ae,ISTJ,الخوف من الخطأ | الحرية النفسية مع نائلة السقاف #eft,https://youtu.be/BuFrtceB0uU?si=3F_u7OhM3HuRZry7,video,ar,['change_fear'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,265,
ISTJ_a331924adc,ISTJ,لو إنت مُنهك نفسيًا وعاطفيًا وجسديًا.. اسمع الكنز ده - مصطفى حسني,https://youtu.be/vJ8CtPg6s-I?si=dsWDPd1yOYJXPtnJ,video,ar,['emotional_awareness'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,266,
ISTJ_ece92c8488,ISTJ,كيف تتعامل مع الماضي السيء؟,https://youtu.be/Ex9PnYEjQv4?si=3_IkmBeTe8eNAXep,video,ar,['change_fear'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,267,
ISTJ_ebb2082a65,ISTJ,تقبل الأشياء اللي حصلت ووجعتك في الماضي - مصطفى حسني,https://youtu.be/tbb_CJMZXS4?si=ZoqViy0DCkRpV2pK,video,ar,['change_fear'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,268,
ISTJ_fe50f9c9a6,ISTJ,أنت المسئول عن علاج نفسك بعد كل أزمة بتمر بيها! - مصطفى حسني,https://youtu.be/8JelLzuhv6k?si=lu7GUYexcM5u71cc,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,269,
ISTJ_294c8b1ca1,ISTJ,وهم الماضي والمستقبل وحقيقة الآن - شرح كامل لكتاب قوة الان - دوباميكافين,https://youtu.be/Tw_p7pFbRFg?si=NSxq1Fft9j9b_oyC,video,ar,['change_fear'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,270,
ISTJ_2d8ca8ad21,ISTJ,لماذا أصبحنا أضعف وأكثر عرضة للكسر؟ | بوكافيين,https://youtu.be/HoCH_8eDxk8?si=hdXNRHfXNNwQXB1z,video,ar,['general_support'],[],recommend_only_if_user_asks_or_message_strongly_matches_issue,أنماط الشخصية 16 for AI bot.docx,271,
